StockCode,AreaCode,AreaDescription,Ecoregion1_major,Ecoregion2_minor,Ecoregion3_more_minor,ALL ECOREGIONS
agn-nea,27.3.c.22,Belt Sea,North Sea Ecoregion,0,0,North Sea Ecoregion
agn-nea,27.3.b.23,Sound,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.24,Baltic West of Bornholm,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.25,Southern Central Baltic - West,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.26,Southern Central Baltic - East,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.27,West of Gotland,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.29,Archipelago Sea,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.30,Bothnian Sea,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.31,Bothnian Bay,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.32,Gulf of Finland,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.28.1,Gulf of Riga,Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.3.d.28.2,East of Gotland (open sea),Baltic Sea Ecoregion,0,0,Baltic Sea Ecoregion
agn-nea,27.1.a,Barents Sea - NEAFC Regulatory Area,Barents Sea Ecoregion,0,0,Barents Sea Ecoregion
agn-nea,27.1.b,Barents Sea - Non NEAFC Regulatory Area,Barents Sea Ecoregion,Greenland and Iceland Seas Ecoregion,0,Barents Sea EcoregionGreenland and Iceland Seas Ecoregion
agn-nea,27.2.a.1,Norwegian Sea - NEAFC Regulatory Area,Norwegian Sea Ecoregion,Greenland and Iceland Seas Ecoregion,0,Norwegian Sea EcoregionGreenland and Iceland Seas Ecoregion
agn-nea,27.2.a.2,Norwegian Sea - Non-NEAFC Regulatory Area,Norwegian Sea Ecoregion,Barents Sea Ecoregion,Greenland and Iceland Seas Ecoregion,Norwegian Sea EcoregionBarents Sea EcoregionGreenland and Iceland Seas Ecoregion
agn-nea,27.2.b.1,Spitsbergen and Bear Island - NEAFC Regulatory Area,Greenland and Iceland Seas Ecoregion,Norwegian Sea Ecoregion,0,Greenland and Iceland Seas EcoregionNorwegian Sea Ecoregion
agn-nea,27.2.b.2,Spitsbergen and Bear Island - Non-NEAFC Regulatory Area,Greenland and Iceland Seas Ecoregion,Barents Sea Ecoregion,Norwegian Sea Ecoregion,Greenland and Iceland Seas EcoregionBarents Sea EcoregionNorwegian Sea Ecoregion
agn-nea,27.3.a,"Skagerrak, Kattegat",North Sea Ecoregion,0,0,North Sea Ecoregion
agn-nea,27.4.a,Northern North Sea,North Sea Ecoregion,0,0,North Sea Ecoregion
agn-nea,27.4.b,Central North Sea,North Sea Ecoregion,0,0,North Sea Ecoregion
agn-nea,27.4.c,Southern North Sea,North Sea Ecoregion,0,0,North Sea Ecoregion
agn-nea,27.9.a,Portugese Waters - East,South European Atlantic Shelf Ecoregion,0,0,South European Atlantic Shelf Ecoregion
agn-nea,27.9.b.1,Portugese Waters - West Parts in NEAFC regulatory Area,Oceanic northeast Atlantic Ecoregion,0,0,Oceanic northeast Atlantic Ecoregion
agn-nea,27.9.b.2,Portugese Waters - West Non-NEAFC regulatory Area,Oceanic northeast Atlantic Ecoregion,0,0,Oceanic northeast Atlantic Ecoregion
agn-nea,27.5.a.1,Northern Reykjanes ridge ,Greenland and Iceland Seas Ecoregion,0,0,Greenland and Iceland Seas Ecoregion
agn-nea,27.5.a.2,Icelandic Shelf,Greenland and Iceland Seas Ecoregion,0,0,Greenland and Iceland Seas Ecoregion
agn-nea,27.5.b.1.a,Faroe Plateau - Part of NEAFC Regulatory Area,Faroes Ecoregion,0,0,Faroes Ecoregion
agn-nea,27.5.b.1.b,Faroe Plateau - Part of Non-NEAFC Regulatory Area,Faroes Ecoregion,0,0,Faroes Ecoregion
agn-nea,27.5.b.2,Faroe Bank,Faroes Ecoregion,0,0,Faroes Ecoregion
agn-nea,27.6.a,Northwest Coast of Scotland and North Ireland or as the West of Scotland,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.6.b.1,Rockall - Part of NEAFC area I ,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.6.b.2,Rockall Non-NEAFC area,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.7.a,Irish Sea,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.7.b,West of Irelandÿ,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.7.c.1,Porcupine Bank - NEAFC Regulatory Area,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.7.c.2,Porcupine Bank Non-NEAFC Regulatory Area,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.7.d,Eastern English Channel,North Sea Ecoregion,0,0,North Sea Ecoregion
agn-nea,27.7.e,Western English Channel,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.7.f,Bristol Channel,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.7.g,Celtic Sea North,Celtic Seas Ecoregion,0,0,Celtic Seas Ecoregion
agn-nea,27.8.a,Bay of Biscay - North,South European Atlantic Shelf Ecoregion,0,0,South European Atlantic Shelf Ecoregion
agn-nea,27.8.b,Bay of Biscay - Central,South European Atlantic Shelf Ecoregion,0,0,South European Atlantic Shelf Ecoregion
agn-nea,27.8.c,Bay of Biscay - South,South European Atlantic Shelf Ecoregion,0,0,South European Atlantic Shelf Ecoregion
agn-nea,27.8.d.1,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area,Oceanic northeast Atlantic Ecoregion,South European Atlantic Shelf Ecoregion,0,Oceanic northeast Atlantic EcoregionSouth European Atlantic Shelf Ecoregion
agn-nea,27.8.d.2,Bay of Biscay - Offshore Non-NEAFC Regulatory Area,Oceanic northeast Atlantic Ecoregion,South European Atlantic Shelf Ecoregion,0,Oceanic northeast Atlantic EcoregionSouth European Atlantic Shelf Ecoregion
