Ecoregion,areaType,value,areaIssue,FO2016,ICESarea,Issue
ALL,historicArea,ICES Area (not specified),,FALSE,,
Azores,historicArea,X a (not specified),X,TRUE,,Oceanic north-east Atlantic contains 10.a.1
Baltic Sea,historicArea,III (not specified),X,TRUE,,Greater North Sea 3.a
Baltic Sea,historicArea,III b  Baltic 23,,TRUE,,
Baltic Sea,historicArea,III b+c (not specified),,TRUE,,
Baltic Sea,historicArea,III b-d (not specified),,TRUE,,
Baltic Sea,historicArea,III c  Baltic 22,,TRUE,,
Baltic Sea,historicArea,III d  (not specified),,TRUE,,
Baltic Sea,historicArea,III d  Baltic 24,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 25,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 26,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 27,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 28 (not specified),,TRUE,,
Baltic Sea,historicArea,III d  Baltic 28-1,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 28-2,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 29,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 30,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 31,,TRUE,,
Baltic Sea,historicArea,III d  Baltic 32,,TRUE,,
Bay of Biscay and the Iberian Coast,historicArea,IX (not specified),X,TRUE,,Oceanic north-east Atlantic 9.b.1
Bay of Biscay and the Iberian Coast,historicArea,IX a,,TRUE,,
Bay of Biscay and the Iberian Coast,historicArea,IX b (not specified),X,TRUE,,Oceanic north-east Atlantic contains 9.b.1
Bay of Biscay and the Iberian Coast,historicArea,IX b2,,TRUE,,
Bay of Biscay and the Iberian Coast,historicArea,VIII (not specified),X,TRUE,,Oceanic north-east Atlantic 8.d.1 and 8.e.1
Bay of Biscay and the Iberian Coast,historicArea,VIII a,,TRUE,,
Bay of Biscay and the Iberian Coast,historicArea,VIII b,,TRUE,,
Bay of Biscay and the Iberian Coast,historicArea,VIII c,,TRUE,,
