Stock code,Fisheries Guild
agn-nea,elasmobranch
alf-comb,demersal
anb-78ab,benthic
anb-8c9a,benthic
ane-bisc,pelagic
ane-pore,pelagic
ang-arct,benthic
ang-ivvi,benthic
anp-78ab,benthic
anp-8c9a,benthic
arg-123a4,demersal
arg-5b6a,demersal
arg-icel,demersal
arg-rest,demersal
bli-5a14,demersal
bli-5b67,demersal
bli-oth,demersal
bll-2232,benthic
bll-nsea,benthic
boc-nea,pelagic
bsf-nea,demersal
bsk-nea,elasmobranch
bss-47,demersal
bss-8ab,demersal
bss-8c9a,demersal
bss-wosi,demersal
cap-bars,pelagic
cap-icel,pelagic
cod-2224,demersal
cod-2532,demersal
cod-347d,demersal
cod-7e-k,demersal
cod-arct,demersal
cod-coas,demersal
cod-farb,demersal
cod-farp,demersal
cod-iceg,demersal
cod-ingr,demersal
cod-iris,demersal
cod-kat,demersal
cod-rock,demersal
cod-scow,demersal
cod-segr,demersal
cod-wgr,demersal
cyo-nea,elasmobranch
dab-2232,benthic
dab-nsea,benthic
dgs-nea,elasmobranch
eel-eur,demersal
fle-2223,benthic
fle-2425,benthic
fle-2628,benthic
fle-2732,benthic
fle-nsea,benthic
gag-nea,demersal
gfb-comb,demersal
ghl-arct,benthic
ghl-grn,benthic
gug-347d,demersal
guq-nea,elasmobranch
gur-comb,demersal
had-346a,demersal
had-7b-k,demersal
had-arct,demersal
had-faro,demersal
had-iceg,demersal
had-iris,demersal
had-rock,demersal
her-2532-gor,pelagic
her-30,pelagic
her-31,pelagic
her-3a22,pelagic
her-47d3,pelagic
her-67bc,pelagic
her-irls,pelagic
her-nirs,pelagic
her-noss,pelagic
her-riga,pelagic
her-vasu,pelagic
hke-nrtn,demersal
hke-soth,demersal
hom-nsea,pelagic
hom-soth,pelagic
hom-west,pelagic
jaa-10,pelagic
lem-nsea,benthic
lin-arct,demersal
lin-faro,demersal
lin-icel,demersal
lin-oth,demersal
mac-nea,pelagic
meg-4a6a,benthic
meg-rock,benthic
mgb-8c9a,benthic
mgw-78,benthic
mgw-8c9a,benthic
mur-347d,demersal
mur-west,demersal
nep-10,crustacean
nep-11,crustacean
nep-12,crustacean
nep-13,crustacean
nep-14,crustacean
nep-15,crustacean
nep-16,crustacean
nep-17,crustacean
nep-19,crustacean
nep-2021,crustacean
nep-22,crustacean
nep-2324,crustacean
nep-25,crustacean
nep-2627,crustacean
nep-2829,crustacean
nep-30,crustacean
nep-31,crustacean
nep-32,crustacean
nep-33,crustacean
nep-34,crustacean
nep-3-4,crustacean
nep-5,crustacean
nep-6,crustacean
nep-7,crustacean
nep-8,crustacean
nep-9,crustacean
nep-oth-4,crustacean
nep-oth-6a,crustacean
nep-oth-7,crustacean
nop-34-oct,pelagic
nop-scow,pelagic
ory-comb,demersal
pan-barn,crustacean
pan-flad,crustacean
pan-sknd,crustacean
