ANNEX,GEAR,EffortManagementRegime,GEAR_NAME,ANNEX_ID
Baltic Sea,BEAM,Multi-annual plan for the cod stocks in the Baltic Sea,Beam trawl,BAL
Baltic Sea,R-BEAM,Multi-annual plan for the cod stocks in the Baltic Sea,Beam trawl,BAL
Baltic Sea,DEM_SEINE,Multi-annual plan for the cod stocks in the Baltic Sea,Demersal seine,BAL
Baltic Sea,R-DEM_SEINE,Multi-annual plan for the cod stocks in the Baltic Sea,Demersal seine,BAL
Baltic Sea,DREDGE,Multi-annual plan for the cod stocks in the Baltic Sea,Dredge,BAL
Baltic Sea,PEL_SEINE,Multi-annual plan for the cod stocks in the Baltic Sea,Midwater,BAL
Baltic Sea,PEL_TRAWL,Multi-annual plan for the cod stocks in the Baltic Sea,Midwater,BAL
Baltic Sea,R-PEL_TRAWL,Multi-annual plan for the cod stocks in the Baltic Sea,Midwater,BAL
Baltic Sea,OTTER,Multi-annual plan for the cod stocks in the Baltic Sea,Otter trawl,BAL
Baltic Sea,R-OTTER,Multi-annual plan for the cod stocks in the Baltic Sea,Otter trawl,BAL
Baltic Sea,GILL,Multi-annual plan for the cod stocks in the Baltic Sea,Static,BAL
Baltic Sea,R-GILL,Multi-annual plan for the cod stocks in the Baltic Sea,Static,BAL
Baltic Sea,R-LONGLINE,Multi-annual plan for the cod stocks in the Baltic Sea,Static,BAL
Baltic Sea,POTS,Multi-annual plan for the cod stocks in the Baltic Sea,Static,BAL
Baltic Sea,R-TRAMMEL,Multi-annual plan for the cod stocks in the Baltic Sea,Static,BAL
Baltic Sea,TRAMMEL,Multi-annual plan for the cod stocks in the Baltic Sea,Static,BAL
Baltic Sea,NONE,Multi-annual plan for the cod stocks in the Baltic Sea,Unspecified,BAL
Bay of Biscay,BEAM,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Beam trawl,BOB
Bay of Biscay,DEM_SEINE,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Demersal seine,BOB
Bay of Biscay,DREDGE,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Dredge,BOB
Bay of Biscay,PEL_SEINE,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Midwater,BOB
Bay of Biscay,PEL_TRAWL,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Midwater,BOB
Bay of Biscay,OTTER,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Otter trawl,BOB
Bay of Biscay,GILL,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Static,BOB
Bay of Biscay,LONGLINE,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Static,BOB
Bay of Biscay,POTS,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Static,BOB
Bay of Biscay,TRAMMEL,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Static,BOB
Bay of Biscay,NONE,Multi-annual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay,Unspecified,BOB
Celtic Sea (Divisions 7f and 7g),BEAM,Long term plan for cod stocks,Beam trawl,CEL2
Celtic Sea (Divisions 7f and 7g),BT1,Long term plan for cod stocks,Beam trawl,CEL2
Celtic Sea (Divisions 7f and 7g),BT2,Long term plan for cod stocks,Beam trawl,CEL2
Celtic Sea (Divisions 7f and 7g),TR1,Long term plan for cod stocks,Bottom trawls and seines,CEL2
Celtic Sea (Divisions 7f and 7g),TR2,Long term plan for cod stocks,Bottom trawls and seines,CEL2
Celtic Sea (Divisions 7f and 7g),TR3,Long term plan for cod stocks,Bottom trawls and seines,CEL2
Celtic Sea (Divisions 7f and 7g),DEM_SEINE,Long term plan for cod stocks,Demersal seine,CEL2
Celtic Sea (Divisions 7f and 7g),DREDGE,Long term plan for cod stocks,Dredge,CEL2
Celtic Sea (Divisions 7f and 7g),PEL_SEINE,Long term plan for cod stocks,Midwater,CEL2
Celtic Sea (Divisions 7f and 7g),PEL_TRAWL,Long term plan for cod stocks,Midwater,CEL2
Celtic Sea (Divisions 7f and 7g),OTTER,Long term plan for cod stocks,Otter trawl,CEL2
Celtic Sea (Divisions 7f and 7g),GN1,Long term plan for cod stocks,Static,CEL2
Celtic Sea (Divisions 7f and 7g),GT1,Long term plan for cod stocks,Static,CEL2
Celtic Sea (Divisions 7f and 7g),LL1,Long term plan for cod stocks,Static,CEL2
Celtic Sea (Divisions 7f and 7g),POTS,Long term plan for cod stocks,Static,CEL2
Celtic Sea (Divisions 7f and 7g),NONE,Long term plan for cod stocks,Unspecified,CEL2
Celtic Sea (entire),BEAM,Long term plan for cod stocks,Beam trawl,CEL1
Celtic Sea (entire),BT1,Long term plan for cod stocks,Beam trawl,CEL1
Celtic Sea (entire),BT2,Long term plan for cod stocks,Beam trawl,CEL1
Celtic Sea (entire),TR1,Long term plan for cod stocks,Bottom trawls and seines,CEL1
Celtic Sea (entire),TR2,Long term plan for cod stocks,Bottom trawls and seines,CEL1
Celtic Sea (entire),TR3,Long term plan for cod stocks,Bottom trawls and seines,CEL1
Celtic Sea (entire),DEM_SEINE,Long term plan for cod stocks,Demersal seine,CEL1
Celtic Sea (entire),DREDGE,Long term plan for cod stocks,Dredge,CEL1
Celtic Sea (entire),PEL_SEINE,Long term plan for cod stocks,Midwater,CEL1
Celtic Sea (entire),PEL_TRAWL,Long term plan for cod stocks,Midwater,CEL1
Celtic Sea (entire),OTTER,Long term plan for cod stocks,Otter trawl,CEL1
Celtic Sea (entire),GN1,Long term plan for cod stocks,Static,CEL1
Celtic Sea (entire),GT1,Long term plan for cod stocks,Static,CEL1
Celtic Sea (entire),LL1,Long term plan for cod stocks,Static,CEL1
Celtic Sea (entire),POTS,Long term plan for cod stocks,Static,CEL1
Celtic Sea (entire),NONE,Long term plan for cod stocks,Unspecified,CEL1
Deep sea,BEAM,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Beam trawl,DS
Deep sea,DREDGE,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Dredge,DS
Deep sea,PELAGIC TRAWLS,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Midwater,DS
Deep sea,BOTTOM TRAWLS,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Otter trawls and Danish seine,DS
Deep sea,GILL,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Static,DS
Deep sea,LONGLINE,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Static,DS
Deep sea,POTS,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Static,DS
Deep sea,TRAMMEL,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Static,DS
Deep sea,NONE,R(EC) No 2347/2002 establishing specifiec access requirements and associated conditions applicable to fishing for deep sea stocks,Unspecified,DS
Fully documented fishery - Baltic Sea,R-DEM_SEINE,Multi-annual plan for the cod stocks in the Baltic Sea,Demersal seine,FDFBAL
Fully documented fishery - Baltic Sea,PEL_TRAWL,Multi-annual plan for the cod stocks in the Baltic Sea,Midwater,FDFBAL
Fully documented fishery - Baltic Sea,R-PEL_TRAWL,Multi-annual plan for the cod stocks in the Baltic Sea,Midwater,FDFBAL
Fully documented fishery - Baltic Sea,R-OTTER,Multi-annual plan for the cod stocks in the Baltic Sea,Otter trawl,FDFBAL
Fully documented fishery - Cod recovery zone,BEAM,Long term plan for cod stocks,Beam trawl,FDFIIA
Fully documented fishery - Cod recovery zone,BT2,Long term plan for cod stocks,Beam trawl,FDFIIA
Fully documented fishery - Cod recovery zone,TR1,Long term plan for cod stocks,Bottom trawls and seines,FDFIIA
Fully documented fishery - Cod recovery zone,TR2,Long term plan for cod stocks,Bottom trawls and seines,FDFIIA
Fully documented fishery - Cod recovery zone,TR3,Long term plan for cod stocks,Bottom trawls and seines,FDFIIA
Fully documented fishery - Cod recovery zone,DEM_SEINE,Long term plan for cod stocks,Demersal seine,FDFIIA
Fully documented fishery - Cod recovery zone,DREDGE,Long term plan for cod stocks,Dredge,FDFIIA
Fully documented fishery - Cod recovery zone,PEL_TRAWL,Long term plan for cod stocks,Midwater,FDFIIA
Fully documented fishery - Cod recovery zone,OTTER,Long term plan for cod stocks,Otter trawl,FDFIIA
Fully documented fishery - Cod recovery zone,GN1,Long term plan for cod stocks,Static,FDFIIA
