"ICES_Area","Area","Subarea","Division","Subdivision","Unit","historicName"
"27.4.b","27","27.4","27.4.b",NA,NA,"IV b"
"27.4.c","27","27.4","27.4.c",NA,NA,"IV c"
"27.7.a","27","27.7","27.7.a",NA,NA,"VII a"
"27.7.b","27","27.7","27.7.b",NA,NA,"VII b"
"27.7.d","27","27.7","27.7.d",NA,NA,"VII d"
"27.7.e","27","27.7","27.7.e",NA,NA,"VII e"
"27.7.f","27","27.7","27.7.f",NA,NA,"VII f"
"27.7.g","27","27.7","27.7.g",NA,NA,"VII g"
"27.7.h","27","27.7","27.7.h",NA,NA,"VII h"
"27.8.a","27","27.8","27.8.a",NA,NA,"VIII a"
"27.8.b","27","27.8","27.8.b",NA,NA,"VIII b"
"27.4","27","27.4",NA,NA,NA,"IV (not specified)"
"27.4.a","27","27.4","27.4.a",NA,NA,"IV a"
"27.5.a","27","27.5","27.5.a",NA,NA,"V a (not specified)"
"27.5.a","27","27.5","27.5.a",NA,NA,"V a (South-West)"
"27.6.a","27","27.6","27.6.a",NA,NA,"VI a"
"27.7.a","27","27.7","27.7.a",NA,NA,"VII a-f  (not specified)"
"27.7.b","27","27.7","27.7.b",NA,NA,"VII a-f  (not specified)"
"27.7.c","27","27.7","27.7.c",NA,NA,"VII a-f  (not specified)"
"27.7.d","27","27.7","27.7.d",NA,NA,"VII a-f  (not specified)"
"27.7.e","27","27.7","27.7.e",NA,NA,"VII a-f  (not specified)"
"27.7.f","27","27.7","27.7.f",NA,NA,"VII a-f  (not specified)"
"27.7.d","27","27.7","27.7.d",NA,NA,"VII d+e (not specified)"
"27.7.e","27","27.7","27.7.e",NA,NA,"VII d+e (not specified)"
"27.7.g","27","27.7","27.7.g",NA,NA,"VII g-k  (not specified)"
"27.7.h","27","27.7","27.7.h",NA,NA,"VII g-k  (not specified)"
"27.7.j","27","27.7","27.7.j",NA,NA,"VII g-k  (not specified)"
"27.7.k","27","27.7","27.7.k",NA,NA,"VII g-k  (not specified)"
"27.1","27","27.1",NA,NA,NA,"I (not specified)"
"27.2.b","27","27.2","27.2.b",NA,NA,"II b (not specified)"
"27.3.a","27","27.3","27.3.a",NA,NA,"III a"
"27.5.b.1","27","27.5","27.5.b","27.5.b.1",NA,"V b1 (not specified)"
"27.6.b","27","27.6","27.6.b",NA,NA,"VI b (not specified)"
"27.7.j","27","27.7","27.7.j",NA,NA,"VII j (not specified)"
"27.8","27","27.8",NA,NA,NA,"VIII (not specified)"
"27.3.d","27","27.3","27.3.d",NA,NA,"III d  (not specified)"
"27.3.b..23","27","27.3","27.3.b","27.3.b.","27.3.b..23","III b  Baltic 23"
"27.3.c..22","27","27.3","27.3.c","27.3.c.","27.3.c..22","III c  Baltic 22"
"27.3.d..24","27","27.3","27.3.d","27.3.d.","27.3.d..24","III d  Baltic 24"
"27.2.a","27","27.2","27.2.a",NA,NA,"II a (not specified)"
"27.2.a.2","27","27.2","27.2.a","27.2.a.2",NA,"II a2"
"27.3.b","27","27.3","27.3.b",NA,NA,"III b+c (not specified)"
"27.3.c","27","27.3","27.3.c",NA,NA,"III b+c (not specified)"
"27.4.a","27","27.4","27.4.a",NA,NA,"IV a+b (not specified)"
"27.4.b","27","27.4","27.4.b",NA,NA,"IV a+b (not specified)"
"27.5.b","27","27.5","27.5.b",NA,NA,"V b (not specified)"
"27.3.d..25","27","27.3","27.3.d","27.3.d.","27.3.d..25","III d  Baltic 25"
"27.3.d..26","27","27.3","27.3.d","27.3.d.","27.3.d..26","III d  Baltic 26"
"27.3.d..27","27","27.3","27.3.d","27.3.d.","27.3.d..27","III d  Baltic 27"
"27.3.d..28","27","27.3","27.3.d","27.3.d.","27.3.d..28","III d  Baltic 28 (not specified)"
"27.3.d..29","27","27.3","27.3.d","27.3.d.","27.3.d..29","III d  Baltic 29"
"27.9","27","27.9",NA,NA,NA,"IX (not specified)"
"27.6","27","27.6",NA,NA,NA,"VI (not specified)"
"27.7.b","27","27.7","27.7.b",NA,NA,"VII b+c  (not specified)"
"27.7.c","27","27.7","27.7.c",NA,NA,"VII b+c  (not specified)"
"27.8.d","27","27.8","27.8.d",NA,NA,"VIII d (not specified)"
"27.14.b","27","27.14","27.14.b",NA,NA,"XIV b (not specified)"
"27.5.b.1.b","27","27.5","27.5.b","27.5.b.1","27.5.b.1.b","V b1B"
"27.14.a","27","27.14","27.14.a",NA,NA,"XIV a"
"27.7.c","27","27.7","27.7.c",NA,NA,"VII c (not specified)"
"27.7.j.2","27","27.7","27.7.j","27.7.j.2",NA,"VII j2"
"27.8.d.2","27","27.8","27.8.d","27.8.d.2",NA,"VIII d2"
"27.9.a","27","27.9","27.9.a",NA,NA,"IX a"
"27.9.b","27","27.9","27.9.b",NA,NA,"IX b (not specified)"
"27.5.b.2","27","27.5","27.5.b","27.5.b.2",NA,"V b2"
"27.6.b.2","27","27.6","27.6.b","27.6.b.2",NA,"VI b2"
"27.7.c.2","27","27.7","27.7.c","27.7.c.2",NA,"VII c2"
"27.12","27","27.12",NA,NA,NA,"XII (not specified)"
"27.14","27","27.14",NA,NA,NA,"XIV (not specified)"
"27.3.d..32","27","27.3","27.3.d","27.3.d.","27.3.d..32","III d  Baltic 32"
"27.14.b.2","27","27.14","27.14.b","27.14.b.2",NA,"XIV b2"
"27.3.d..28.1","27","27.3","27.3.d","27.3.d.","27.3.d..28.1","III d  Baltic 28-1"
"27.3.d..28.2","27","27.3","27.3.d","27.3.d.","27.3.d..28.2","III d  Baltic 28-2"
"27.7.k","27","27.7","27.7.k",NA,NA,"VII k (not specified)"
"27.1.a","27","27.1","27.1.a",NA,NA,"I a"
"27.1.b","27","27.1","27.1.b",NA,NA,"I b"
"27.2.b.1","27","27.2","27.2.b","27.2.b.1",NA,"II b1"
"27.10","27","27.10",NA,NA,NA,"X (not specified)"
"27.3.d..30","27","27.3","27.3.d","27.3.d.","27.3.d..30","III d  Baltic 30"
"27.3.d..31","27","27.3","27.3.d","27.3.d.","27.3.d..31","III d  Baltic 31"
"27.7","27","27.7",NA,NA,NA,"VII (not specified)"
"27.8.c","27","27.8","27.8.c",NA,NA,"VIII c"
"27.8.e","27","27.8","27.8.e",NA,NA,"VIII e (not specified)"
"27.10.a","27","27.10","27.10.a",NA,NA,"X a (not specified)"
"27.12.a","27","27.12","27.12.a",NA,NA,"XII a (not specified)"
"27.2","27","27.2",NA,NA,NA,"II (not specified)"
"27.5","27","27.5",NA,NA,NA,"V (not specified)"
"27.2.a.1","27","27.2","27.2.a","27.2.a.1",NA,"II a1"
"27.6.b.1","27","27.6","27.6.b","27.6.b.1",NA,"VI b1"
"27.7.c.1","27","27.7","27.7.c","27.7.c.1",NA,"VII c1"
"27.7.j.1","27","27.7","27.7.j","27.7.j.1",NA,"VII j1"
"27.7.k.1","27","27.7","27.7.k","27.7.k.1",NA,"VII k1"
"27.8.d.1","27","27.8","27.8.d","27.8.d.1",NA,"VIII d1"
"27.5.b.1.a","27","27.5","27.5.b","27.5.b.1","27.5.b.1.a","V b1A"
"27.9.b.1","27","27.9","27.9.b","27.9.b.1",NA,"IX b1"
"27.12.a.1","27","27.12","27.12.a","27.12.a.1",NA,"XII a1"
"27.5.a.1","27","27.5","27.5.a","27.5.a.1",NA,"V a1"
"27.5.a","27","27.5","27.5.a",NA,NA,"V a (North-East)"
"27.3.b","27","27.3","27.3.b",NA,NA,"III b-d (not specified)"
"27.3.c","27","27.3","27.3.c",NA,NA,"III b-d (not specified)"
"27.3.d","27","27.3","27.3.d",NA,NA,"III b-d (not specified)"
"27.3.a","27","27.3","27.3.a",NA,NA,"IIIa  and  IV  (not specified)"
"27.4","27","27.4",NA,NA,NA,"IIIa  and  IV  (not specified)"
"27.7.d","27","27.7","27.7.d",NA,NA,"VII d-k (not specified)"
"27.7.e","27","27.7","27.7.e",NA,NA,"VII d-k (not specified)"
"27.7.f","27","27.7","27.7.f",NA,NA,"VII d-k (not specified)"
"27.7.g","27","27.7","27.7.g",NA,NA,"VII d-k (not specified)"
"27.7.h","27","27.7","27.7.h",NA,NA,"VII d-k (not specified)"
"27.7.j","27","27.7","27.7.j",NA,NA,"VII d-k (not specified)"
"27.7.k","27","27.7","27.7.k",NA,NA,"VII d-k (not specified)"
"27.5.a","27","27.5","27.5.a",NA,NA,"V a+b1  (not specified)"
"27.5.b.1","27","27.5","27.5.b","27.5.b.1",NA,"V a+b1  (not specified)"
"27.1","27","27.1",NA,NA,NA,"I  and  IIa (not specified)"
"27.2.a","27","27.2","27.2.a",NA,NA,"I  and  IIa (not specified)"
"27.14.b.1","27","27.14","27.14.b","27.14.b.1",NA,"XIV b1"
"27.3.a","27","27.3","27.3.a",NA,NA,"IIIa  and  IVa+b  (not specified)"
"27.4.a","27","27.4","27.4.a",NA,NA,"IIIa  and  IVa+b  (not specified)"
"27.4.b","27","27.4","27.4.b",NA,NA,"IIIa  and  IVa+b  (not specified)"
"27.12.a.3","27","27.12","27.12.a","27.12.a.3",NA,"XII a3"
"27.2.b.2","27","27.2","27.2.b","27.2.b.2",NA,"II b2"
"27.7.f","27","27.7","27.7.f",NA,NA,"VII f-k  (not specified)"
"27.7.g","27","27.7","27.7.g",NA,NA,"VII f-k  (not specified)"
"27.7.h","27","27.7","27.7.h",NA,NA,"VII f-k  (not specified)"
