historicName,icesName
I (not specified),27.1
X (not specified),27.10
I _and_ IIa (not specified),27.1_and_27.2.a
XII (not specified),27.12
XIV (not specified),27.14
II (not specified),27.2
III (not specified),27.3
IV (not specified),27.4
V (not specified),27.5
VI (not specified),27.6
VII (not specified),27.7
VIII (not specified),27.8
IX (not specified),27.9
I a,27.1.a
I b,27.1.b
X a (not specified),27.10.a
X b,27.10.b
XII a (not specified),27.12.a
XII a1,27.12.a.1
XII a3,27.12.a.3
XII b,27.12.b
XIV a,27.14.a
XIV b (not specified),27.14.b
XIV b1,27.14.b.1
XIV b2,27.14.b.2
II a (not specified),27.2.a
II a1,27.2.a.1
II a2,27.2.a.2
II b (not specified),27.2.b
II b1,27.2.b.1
II b2,27.2.b.2
III a,27.3.a
IIIa and IV  (not specified),27.3.a_and_27.4
IIIa and IVa+b  (not specified),27.3.a_and_27.4.ab
III b+c (not specified),27.3.bc
III b-d (not specified),27.3.b-d
III b  Baltic 23,27.3.b.23
III c  Baltic 22,27.3.c.22
III d  (not specified),27.3.d
III d  Baltic 24,27.3.d.24
III d  Baltic 25,27.3.d.25
III d  Baltic 26,27.3.d.26
III d  Baltic 27,27.3.d.27
III d  Baltic 28 (not specified),27.3.d.28
III d  Baltic 28-1,27.3.d.28.1
III d  Baltic 28-2,27.3.d.28.2
III d  Baltic 29,27.3.d.29
III d  Baltic 30,27.3.d.30
III d  Baltic 31,27.3.d.31
III d  Baltic 32,27.3.d.32
IV a,27.4.a
IV a+b (not specified),27.4.ab
IV b,27.4.b
IV b+c (not specified),27.4.bc
IV c,27.4.c
V a (not specified),27.5.a
V a (South-West),27.5.a
V a (North-East),27.5.a
V a+b1  (not specified),27.5.a_and_27.5.b.1
V a1,27.5.a.1
V a2,27.5.a.2
V b (not specified),27.5.b
V b1 (not specified),27.5.b.1
V b1A,27.5.b.1.a
V b1B,27.5.b.1.b
V b2,27.5.b.2
VI a,27.6.a
VI b (not specified),27.6.b
VI b1,27.6.b.1
VI b2,27.6.b.2
VII a,27.7.a
VII a-f  (not specified),27.7.a-f
VII b,27.7.b
VII b+c  (not specified),27.7.bc
VII c (not specified),27.7.c
VII c1,27.7.c.1
VII c2,27.7.c.2
VII d,27.7.d
VII d+e (not specified),27.7.de
VII d-k (not specified),27.7.d-k
VII e,27.7.e
VII f,27.7.f
VII f-k  (not specified),27.7.f-k
VII g,27.7.g
VII g-k  (not specified),27.7.g-k
VII h,27.7.h
VII j (not specified),27.7.j
VII j1,27.7.j.1
VII j2,27.7.j.2
VII k (not specified),27.7.k
VII k1,27.7.k.1
VII k2,27.7.k.2
VIII a,27.8.a
VIII b,27.8.b
VIII c,27.8.c
VIII d (not specified),27.8.d
VIII d1,27.8.d.1
VIII d2,27.8.d.2
VIII e (not specified),27.8.e
VIII e1,27.8.e.1
VIII e2,27.8.e.2
IX a,27.9.a
IX b (not specified),27.9.b
IX b1,27.9.b.1
IX b2,27.9.b.2
