annex,country,regulated area ,reg_area_cod,regulated gear ,species,specon,sum_discards,sum_landings,vessel length,year
BAL,FIN,A,A,NONE,COD,NONE,0,285.33609,NONE,2013
BAL,FIN,A,A,NONE,SAL,NONE,0,0.01887,NONE,2013
BAL,FIN,A,A,NONE,PLE,NONE,0,0.2898,NONE,2013
BAL,FIN,A,A,NONE,FLX,NONE,0,8.82468,NONE,2013
BAL,FIN,A,A,NONE,TUR,NONE,0,0.0162,NONE,2013
BAL,FIN,A,A,NONE,WHG,NONE,0,2.10866,NONE,2013
BAL,FIN,B,B,NONE,COD,NONE,0,153.5859,NONE,2013
BAL,FIN,B,B,NONE,FLX,NONE,0,8.59356,NONE,2013
BAL,FIN,B,B,NONE,TUR,NONE,0,0.864,NONE,2013
BAL,FIN,C,C,NONE,COD,NONE,0.211,2.1528,NONE,2013
BAL,FIN,C,C,NONE,FPE,NONE,0,0.057,NONE,2013
BAL,FIN,C,C,NONE,FLX,NONE,0.004,0.0162,NONE,2013
BAL,FIN,C,C,NONE,FPI,NONE,0,0.003,NONE,2013
BAL,FIN,C,C,GILL,FBM,NONE,0,2.607,NONE,2015
BAL,FIN,C,C,GILL,FBU,NONE,0,2.2,NONE,2015
BAL,FIN,C,C,GILL,FID,NONE,0,0.692,NONE,2015
BAL,FIN,C,C,GILL,FIN,NONE,0,0.103,NONE,2015
BAL,FIN,C,C,GILL,FLE,NONE,0,0.0054,NONE,2015
BAL,FIN,C,C,GILL,FRO,NONE,0,4.289,NONE,2015
BAL,FIN,C,C,GILL,FVE,NONE,0,0.077,NONE,2015
BAL,FIN,C,C,GILL,PLN,NONE,0,20.627,NONE,2015
BAL,FIN,C,C,GILL,SME,NONE,0,4.582,NONE,2015
BAL,FIN,C,C,GILL,TRR,NONE,0,0.0348,NONE,2015
BAL,FIN,C,C,GILL,TRS,NONE,0,0.47286,NONE,2015
BAL,FIN,C,C,GILL,COD,NONE,0,0.00351,NONE,2015
BAL,FIN,C,C,GILL,FPE,NONE,0,14.023,NONE,2015
BAL,FIN,C,C,GILL,FPI,NONE,0,9.564,NONE,2015
BAL,FIN,C,C,GILL,FPP,NONE,0,15.004,NONE,2015
BAL,FIN,C,C,PEL_SEINE,FBU,NONE,0,0.024,NONE,2015
BAL,FIN,C,C,PEL_SEINE,FVE,NONE,0,8.134,NONE,2015
BAL,FIN,C,C,PEL_SEINE,PLN,NONE,0,0.16,NONE,2015
BAL,FIN,C,C,PEL_SEINE,SME,NONE,0,4.962,NONE,2015
BAL,FIN,C,C,PEL_SEINE,FPE,NONE,0,0.014,NONE,2015
BAL,FIN,C,C,PEL_SEINE,FPI,NONE,0,0.005,NONE,2015
BAL,FIN,C,C,PEL_SEINE,FPP,NONE,0,0.007,NONE,2015
BAL,FIN,C,C,POTS,FBM,NONE,0,17.749,NONE,2015
BAL,FIN,C,C,POTS,FBU,NONE,0,9.8,NONE,2015
BAL,FIN,C,C,POTS,FID,NONE,0,0.212,NONE,2015
BAL,FIN,C,C,POTS,FRO,NONE,0,3.219,NONE,2015
BAL,FIN,C,C,POTS,PLN,NONE,0,0.312,NONE,2015
BAL,FIN,C,C,POTS,TRS,NONE,0,0.18315,NONE,2015
