"annex","reg_area_cod","AREA"
"BAL","28.2","BAL_28.2"
"BAL","A","BAL_A"
"BAL","B","BAL_B"
"BAL","C","BAL_C"
"BOB","8A-BOB","BOB_8A-BOB"
"BOB","8B-BOB","BOB_8B-BOB"
"CEL1","7BCEFGHJK","CEL1_7BCEFGHJK"
"CEL2","7FG","CEL2_7FG"
"DS","1 NON EU","DS_1 NON EU"
"DS","2 EU","DS_2 EU"
"DS","2 NON EU","DS_2 NON EU"
"DS","3 NO BALTIC","DS_3 NO BALTIC"
"DS","4","DS_4"
"DS","5 EU","DS_5 EU"
"DS","5 NON EU","DS_5 NON EU"
"DS","6 EU","DS_6 EU"
"DS","6 NON EU","DS_6 NON EU"
"DS","7 EU NO 7D","DS_7 EU NO 7D"
"DS","7 NON EU","DS_7 NON EU"
"DS","7D","DS_7D"
"DS","8 EU","DS_8 EU"
"DS","8 NON EU","DS_8 NON EU"
"DS","9 EU","DS_9 EU"
"DS","9 NON EU","DS_9 NON EU"
"DS","10 EU","DS_10 EU"
"DS","10 NON EU","DS_10 NON EU"
"DS","12 NON EU","DS_12 NON EU"
"DS","14 NON EU","DS_14 NON EU"
"DS","34.1.1 COAST","DS_34.1.1 COAST"
"DS","34.1.1 EU","DS_34.1.1 EU"
"DS","34.1.2 EU","DS_34.1.2 EU"
"DS","34.1.2 NON EU","DS_34.1.2 NON EU"
"DS","34.1.3 NON EU","DS_34.1.3 NON EU"
"DS","34.2.0 EU","DS_34.2.0 EU"
"DS","34.2.0 NON EU","DS_34.2.0 NON EU"
"FDFBAL","A","FDFBAL_A"
"FDFBAL","B","FDFBAL_B"
"FDFIIA","3A","FDFIIA_3A"
"FDFIIA","3B1","FDFIIA_3B1"
"FDFIIA","3B2","FDFIIA_3B2"
"FDFIIA","3B3","FDFIIA_3B3"
"FDFIIA","3C","FDFIIA_3C"
"FDFIIA","3D","FDFIIA_3D"
"FDFIIC","7E","FDFIIC_7E"
"IIA","3A","IIA_3A"
"IIA","3B1","IIA_3B1"
"IIA","3B2","IIA_3B2"
"IIA","3B3","IIA_3B3"
"IIA","3C","IIA_3C"
"IIA","3D","IIA_3D"
"IIB","8C-9A","IIB_8C-9A"
"IIC","7E","IIC_7E"
"WW","5 EU","WW_5 EU"
"WW","5 NON EU","WW_5 NON EU"
"WW","6 EU","WW_6 EU"
"WW","6 NON EU","WW_6 NON EU"
"WW","7 EU NO 7D","WW_7 EU NO 7D"
"WW","7 NON EU","WW_7 NON EU"
"WW","7D","WW_7D"
"WW","8 EU","WW_8 EU"
"WW","8 NON EU","WW_8 NON EU"
"WW","9 EU","WW_9 EU"
"WW","9 NON EU","WW_9 NON EU"
"WW","10 EU","WW_10 EU"
"WW","10 NON EU","WW_10 NON EU"
"WW","34.1.1 EU","WW_34.1.1 EU"
"WW","34.1.1 NON EU","WW_34.1.1 NON EU"
"WW","34.1.2 EU","WW_34.1.2 EU"
"WW","34.1.2 NON EU","WW_34.1.2 NON EU"
"WW","34.2.0 EU","WW_34.2.0 EU"
"WW","34.2.0 NON EU","WW_34.2.0 NON EU"
"WW","BSA","WW_BSA"
