"STOCK.CODE","STOCK.NAME","CAT","ADVICE.TYPE","FISHERIES.GUILD","SPECIES.ID","SPECIES.NAME"
"raj-mar","Rays and skates (mainly thornback ray) in the Azores and Mid-Atlantic Ridge",3,"PA","elasmobranch","RAJ","Rajidae"
"rng-1012","Roundnose grenadier (Coryphaenoides rupenstris) in Mid-Atlantic Ridge (Xb, XIIc, Va1, XIIa1, XIVb1)",5,"PA","demersal","RNG","Coryphaenoides rupestris"
"hke-nrtn","Hake in Division IIIa, Subareas IV, VI and VII and Divisions VIIIa,b,d (Northern stock)",1,"MSY","demersal","HKE","Merluccius merluccius"
"hke-soth","Hake in Division VIIIc and IXa (Southern stock)",1,"MSY","demersal","HKE","Merluccius merluccius"
"mac-nea","Mackerel in the Northeast Atlantic (combined Southern, Western and North Sea spawning components)",1,"MSY","pelagic","MAC","Scomber scombrus"
"nep-2324","Nephrops in Divisions VIIIa,b (Bay of Biscay, FU 23, 24)",3,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-25","Nephrops in North Galicia (FU 25)",3,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-2627","Nephrops in West Galicia and North Portugal (FU 26-27)",3,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-2829","Nephrops in South-West and South Portugal (FU 28-29)",3,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-30","Nephrops in Gulf of Cadiz (FU 30)",3,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-31","Nephrops in the Cantabrian Sea (FU 31)",3,"PA","crustacean","NEP","Nephrops norvegicus"
"ple-89a","Plaice in Subarea VIII and Division IXa",5,"PA","benthic","PLE","Pleuronectes platessa"
"pol-89a","Pollack in Subarea VIII and Division IXa",5,"PA","demersal","POL","Pollachius pollachius"
"raj-89a","Other skates and rays in Subarea VIII and Division IXa (Bay of Biscay and Atlantic Iberian waters)",5,"PA","elasmobranch","RAJ","Rajidae"
"rng-oth","Roundnose grenadier (Coryphaenoides rupenstris) in all other areas (I, II, IV, Va2, VIII, IX, XIVa, and XIVb2)",6,"PA","demersal","RNG","Coryphaenoides rupestris"
"sar-78","Sardine in in Divisions VIIIa,b,d and Subarea VII",3,"PA","pelagic","SAR","Sardina pilchardus"
"sar-soth","Sardine in Divisions VIIIc and IXa",1,"MP","pelagic","SAR","Sardina pilchardus"
"sol-8c9a","Sole in Divisions VIIIc and IXa",NA,"PA","benthic","SOL","Solea solea"
"sol-8c9a","Sole in Divisions VIIIc and IXa",NA,"PA","benthic","SOL","Solea spp"
"sol-bisc","Sole in Divisions VIIIa,b (Bay of Biscay)",1,"MSY","benthic","SOL","Solea solea"
"sol-bisc","Sole in Divisions VIIIa,b (Bay of Biscay)",1,"MSY","benthic","SOL","Solea spp"
"usk-oth","Tusk in Divisions IIIa, Vb, VIa, and XIIb, and Subareas IV, VII, VIII, and IX (other areas)",3,"PA","demersal","USK","Brosme brosme"
"whb-comb","Blue whiting in Subareas I-IX, XII and XIV (Combined stock)",1,"MSY","demersal","WHB","Micromesistius poutassou"
"whg-89a","Whiting in Subarea VIII and Division IXa",5,"PA","demersal","WHG","Merlangius merlangus"
"bss-8ab","Seabass (Dicentrarchus labra) in Divisions VIIIa,b (Bay of Biscay North and Central)",5,"PA","demersal","BSS","Dicentrarchus labrax"
"mur-west","Striped red mullet in Subarea VI, VIII and Divisions VIIa-c, e-k and IXa (Western area)",5,"PA","demersal","MUR","Mullus surmuletus"
"ghl-arct","Greenland halibut in Subareas I and II",1,"PA","benthic","GHL","Reinhardtius hippoglossoides"
"had-arct","Haddock in Subareas I and II (Northeast Arctic)",1,"MP","demersal","HAD","Melanogrammus aeglefinus"
